Year,Region,Gender,Amount
2011,State,F,76.82
2011,State,M,71.63
2011,State,Total,74.22
2012,State,F,77.28
2012,State,M,72.22
2012,State,Total,74.74
2013,State,F,77.68
2013,State,M,72.46
2013,State,Total,75.05
2014,State,F,77.69
2014,State,M,72.61
2014,State,Total,75.14
2015,State,F,77.67
2015,State,M,72.62
2015,State,Total,75.13
2016,State,F,77.97
2016,State,M,73.0
2016,State,Total,75.48
2017,State,F,77.8762
2017,State,M,72.9505
2017,State,Total,75.4063
2018,State,F,78.0789
2018,State,M,73.2223
2018,State,Total,75.64699999999998
