Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
State,Total,2006,Total Earnings,35263.0,100.0
State,Total,2007,Total Earnings,39170.0,100.0
State,Total,2008,Total Earnings,43518.0,100.0
State,Total,2009,Total Earnings,47639.0,100.0
State,Total,2010,Total Earnings,47376.0,100.0
State,Total,2011,Total Earnings,51641.0,100.0
State,Total,2012,Total Earnings,51504.0,100.0
State,Total,2013,Total Earnings,56073.0,100.0
State,Total,2014,Total Earnings,57054.0,100.0
State,Total,2015,Total Earnings,57814.0,100.0
State,Total,2016,Total Earnings,59624.0,100.0
State,Total,2017,Total Earnings,61407.0,100.0
